,M,D,O,n,Fvco,Fref,Fout,Fout (MHz),delay,delay (ps)
199,110,1,11,83,1100000000.0,10000000,100000000.0,100.0,5.68182e-10,568.182
322,130,1,13,98,1300000000.0,10000000,100000000.0,100.0,5.76923e-10,576.923
465,150,1,15,113,1500000000.0,10000000,100000000.0,100.0,5.83333e-10,583.3330000000001
21,60,1,6,45,600000000.0,10000000,100000000.0,100.0,6.25e-10,625.0
464,150,1,15,112,1500000000.0,10000000,100000000.0,100.0,6.66667e-10,666.667
321,130,1,13,97,1300000000.0,10000000,100000000.0,100.0,6.73077e-10,673.077
198,110,1,11,82,1100000000.0,10000000,100000000.0,100.0,6.81818e-10,681.818
115,90,1,9,67,900000000.0,10000000,100000000.0,100.0,6.94444e-10,694.444
527,160,1,16,119,1600000000.0,10000000,100000000.0,100.0,7.03125e-10,703.125
48,70,1,7,52,700000000.0,10000000,100000000.0,100.0,7.14286e-10,714.2860000000001
245,120,1,12,89,1200000000.0,10000000,100000000.0,100.0,7.29167e-10,729.1669999999999
154,100,1,10,74,1000000000.0,10000000,100000000.0,100.0,7.5e-10,750.0
320,130,1,13,96,1300000000.0,10000000,100000000.0,100.0,7.69231e-10,769.2310000000001
79,80,1,8,59,800000000.0,10000000,100000000.0,100.0,7.8125e-10,781.25
197,110,1,11,81,1100000000.0,10000000,100000000.0,100.0,7.95455e-10,795.455
375,140,1,14,103,1400000000.0,10000000,100000000.0,100.0,8.03571e-10,803.571
20,60,1,6,44,600000000.0,10000000,100000000.0,100.0,8.33333e-10,833.3330000000001
525,160,1,16,117,1600000000.0,10000000,100000000.0,100.0,8.59375e-10,859.3750000000001
319,130,1,13,95,1300000000.0,10000000,100000000.0,100.0,8.65385e-10,865.3850000000001
153,100,1,10,73,1000000000.0,10000000,100000000.0,100.0,8.75e-10,875.0
47,70,1,7,51,700000000.0,10000000,100000000.0,100.0,8.92857e-10,892.8570000000001
196,110,1,11,80,1100000000.0,10000000,100000000.0,100.0,9.09091e-10,909.091
461,150,1,15,109,1500000000.0,10000000,100000000.0,100.0,9.16667e-10,916.667
78,80,1,8,58,800000000.0,10000000,100000000.0,100.0,9.375e-10,937.4999999999999
318,130,1,13,94,1300000000.0,10000000,100000000.0,100.0,9.61538e-10,961.538
113,90,1,9,65,900000000.0,10000000,100000000.0,100.0,9.72222e-10,972.2220000000001
373,140,1,14,101,1400000000.0,10000000,100000000.0,100.0,9.82143e-10,982.1429999999999
152,100,1,10,72,1000000000.0,10000000,100000000.0,100.0,1e-09,1000.0000000000001
523,160,1,16,115,1600000000.0,10000000,100000000.0,100.0,1.015625e-09,1015.6250000000001
195,110,1,11,79,1100000000.0,10000000,100000000.0,100.0,1.022727e-09,1022.7270000000001
19,60,1,6,43,600000000.0,10000000,100000000.0,100.0,1.041667e-09,1041.6670000000001
317,130,1,13,93,1300000000.0,10000000,100000000.0,100.0,1.057692e-09,1057.692
46,70,1,7,50,700000000.0,10000000,100000000.0,100.0,1.071429e-09,1071.429
459,150,1,15,107,1500000000.0,10000000,100000000.0,100.0,1.083333e-09,1083.3329999999999
77,80,1,8,57,800000000.0,10000000,100000000.0,100.0,1.09375e-09,1093.75
