,M,D,O,n,Fvco,Fpfd,Fref,Fout,Fout (MHz),delay,delay (ps),stability metric
381,130,1,13,96,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,7.692307692307698e-10,769.2307692307697,0.8625076208038536
627,160,1,16,118,1600000000.0,62500.0,10000000,100000000.0,100.0,7.812500000000008e-10,781.2500000000008,1.0512720920988259
447,140,1,14,103,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,8.03571428571428e-10,803.571428571428,0.9252097602739726
551,150,1,15,110,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,8.333333333333342e-10,833.3333333333342,0.988145874103066
626,160,1,16,117,1600000000.0,62500.0,10000000,100000000.0,100.0,8.59375e-10,859.3750000000001,1.0512720920988259
380,130,1,13,95,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,8.653846153846164e-10,865.3846153846164,0.8625076208038536
446,140,1,14,102,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,8.928571428571433e-10,892.8571428571433,0.9252097602739726
550,150,1,15,109,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,9.166666666666666e-10,916.6666666666666,0.988145874103066
625,160,1,16,116,1600000000.0,62500.0,10000000,100000000.0,100.0,9.37500000000001e-10,937.500000000001,1.0512720920988259
379,130,1,13,94,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,9.615384615384614e-10,961.5384615384614,0.8625076208038536
445,140,1,14,101,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,9.82142857142857e-10,982.142857142857,0.9252097602739726
624,160,1,16,115,1600000000.0,62500.0,10000000,100000000.0,100.0,1.0156250000000002e-09,1015.6250000000002,1.0512720920988259
233,110,1,11,79,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,1.0227272727272723e-09,1022.7272727272723,0.7380605096957837
378,130,1,13,93,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,1.057692307692308e-09,1057.692307692308,0.8625076208038536
444,140,1,14,100,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,1.0714285714285723e-09,1071.4285714285722,0.9252097602739726
623,160,1,16,114,1600000000.0,62500.0,10000000,100000000.0,100.0,1.0937499999999995e-09,1093.7499999999995,1.0512720920988259
134,90,1,9,64,900000000.0,111111.11111111111,10000000,100000000.0,100.0,1.1111111111111117e-09,1111.1111111111118,0.6155986355729506
232,110,1,11,78,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,1.1363636363636368e-09,1136.3636363636367,0.7380605096957837
377,130,1,13,92,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,1.1538461538461546e-09,1153.8461538461547,0.8625076208038536
622,160,1,16,113,1600000000.0,62500.0,10000000,100000000.0,100.0,1.1718750000000004e-09,1171.8750000000005,1.0512720920988259
621,160,1,16,112,1600000000.0,62500.0,10000000,100000000.0,100.0,1.2499999999999996e-09,1249.9999999999995,1.0512720920988259
620,160,1,16,111,1600000000.0,62500.0,10000000,100000000.0,100.0,1.3281250000000005e-09,1328.1250000000005,1.0512720920988259
375,130,1,13,90,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,1.3461538461538462e-09,1346.1538461538462,0.8625076208038536
230,110,1,11,76,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,1.3636363636363641e-09,1363.6363636363642,0.7380605096957837
132,90,1,9,62,900000000.0,111111.11111111111,10000000,100000000.0,100.0,1.3888888888888892e-09,1388.8888888888891,0.6155986355729506
619,160,1,16,110,1600000000.0,62500.0,10000000,100000000.0,100.0,1.4062499999999998e-09,1406.2499999999998,1.0512720920988259
440,140,1,14,96,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,1.4285714285714286e-09,1428.5714285714287,0.9252097602739726
374,130,1,13,89,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,1.4423076923076929e-09,1442.3076923076928,0.8625076208038536
229,110,1,11,75,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,1.477272727272727e-09,1477.272727272727,0.7380605096957837
618,160,1,16,109,1600000000.0,62500.0,10000000,100000000.0,100.0,1.4843750000000007e-09,1484.3750000000007,1.0512720920988259
543,150,1,15,102,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,1.5000000000000002e-09,1500.0000000000002,0.988145874103066
373,130,1,13,88,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,1.5384615384615379e-09,1538.4615384615379,0.8625076208038536
617,160,1,16,108,1600000000.0,62500.0,10000000,100000000.0,100.0,1.5625e-09,1562.5,1.0512720920988259
542,150,1,15,101,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,1.5833333333333343e-09,1583.3333333333344,0.988145874103066
438,140,1,14,94,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,1.6071428571428576e-09,1607.1428571428576,0.9252097602739726
372,130,1,13,87,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,1.6346153846153845e-09,1634.6153846153845,0.8625076208038536
