,M,D,O,n,Fvco,Fpfd,Fref,Fout,Fout (MHz),delay,delay (ps),stability metric
574,160,1,16,65,1600000000.0,62500.0,10000000,100000000.0,100.0,4.921875e-09,4921.875,1.0512720920988259
573,160,1,16,64,1600000000.0,62500.0,10000000,100000000.0,100.0,5e-09,5000.0,1.0512720920988259
572,160,1,16,63,1600000000.0,62500.0,10000000,100000000.0,100.0,5.078125e-09,5078.125,1.0512720920988259
500,150,1,15,59,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,5.083333333333333e-09,5083.333333333333,0.988145874103066
250,120,1,12,47,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,5.104166666666667e-09,5104.166666666667,0.8000979492824527
149,100,1,10,39,1000000000.0,100000.0,10000000,100000000.0,100.0,5.125e-09,5125.000000000001,0.6765069716242661
571,160,1,16,62,1600000000.0,62500.0,10000000,100000000.0,100.0,5.15625e-09,5156.25,1.0512720920988259
499,150,1,15,58,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,5.166666666666667e-09,5166.666666666667,0.988145874103066
335,130,1,13,50,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,5.1923076923076925e-09,5192.307692307692,0.8625076208038536
249,120,1,12,46,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,5.208333333333334e-09,5208.333333333334,0.8000979492824527
570,160,1,16,61,1600000000.0,62500.0,10000000,100000000.0,100.0,5.234375e-09,5234.375,1.0512720920988259
498,150,1,15,57,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,5.25e-09,5250.0,0.988145874103066
397,140,1,14,53,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,5.267857142857143e-09,5267.857142857143,0.9252097602739726
334,130,1,13,49,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,5.288461538461538e-09,5288.461538461538,0.8625076208038536
569,160,1,16,60,1600000000.0,62500.0,10000000,100000000.0,100.0,5.3125000000000004e-09,5312.500000000001,1.0512720920988259
497,150,1,15,56,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,5.333333333333334e-09,5333.333333333334,0.988145874103066
396,140,1,14,52,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,5.357142857142857e-09,5357.142857142858,0.9252097602739726
147,100,1,10,37,1000000000.0,100000.0,10000000,100000000.0,100.0,5.375e-09,5375.0,0.6765069716242661
568,160,1,16,59,1600000000.0,62500.0,10000000,100000000.0,100.0,5.3906250000000005e-09,5390.625000000001,1.0512720920988259
496,150,1,15,55,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,5.416666666666667e-09,5416.666666666667,0.988145874103066
395,140,1,14,51,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,5.446428571428572e-09,5446.428571428572,0.9252097602739726
567,160,1,16,58,1600000000.0,62500.0,10000000,100000000.0,100.0,5.4687500000000006e-09,5468.750000000001,1.0512720920988259
332,130,1,13,47,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,5.480769230769231e-09,5480.7692307692305,0.8625076208038536
495,150,1,15,54,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,5.5000000000000004e-09,5500.000000000001,0.988145874103066
394,140,1,14,50,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,5.535714285714286e-09,5535.714285714286,0.9252097602739726
566,160,1,16,57,1600000000.0,62500.0,10000000,100000000.0,100.0,5.546875e-09,5546.875,1.0512720920988259
331,130,1,13,46,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,5.5769230769230774e-09,5576.923076923077,0.8625076208038536
494,150,1,15,53,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,5.583333333333334e-09,5583.333333333334,0.988145874103066
565,160,1,16,56,1600000000.0,62500.0,10000000,100000000.0,100.0,5.625e-09,5625.0,1.0512720920988259
493,150,1,15,52,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,5.666666666666667e-09,5666.666666666667,0.988145874103066
192,110,1,11,38,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,5.681818181818182e-09,5681.818181818182,0.7380605096957837
564,160,1,16,55,1600000000.0,62500.0,10000000,100000000.0,100.0,5.703125e-09,5703.125,1.0512720920988259
244,120,1,12,41,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,5.729166666666667e-09,5729.166666666667,0.8000979492824527
492,150,1,15,51,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,5.75e-09,5750.0,0.988145874103066
329,130,1,13,44,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,5.769230769230769e-09,5769.2307692307695,0.8625076208038536
563,160,1,16,54,1600000000.0,62500.0,10000000,100000000.0,100.0,5.78125e-09,5781.25,1.0512720920988259
391,140,1,14,47,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,5.803571428571429e-09,5803.571428571429,0.9252097602739726
491,150,1,15,50,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,5.8333333333333335e-09,5833.333333333334,0.988145874103066
562,160,1,16,53,1600000000.0,62500.0,10000000,100000000.0,100.0,5.859375e-09,5859.375,1.0512720920988259
328,130,1,13,43,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,5.865384615384616e-09,5865.384615384616,0.8625076208038536
390,140,1,14,46,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,5.892857142857143e-09,5892.857142857143,0.9252097602739726
490,150,1,15,49,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,5.916666666666667e-09,5916.666666666667,0.988145874103066
561,160,1,16,52,1600000000.0,62500.0,10000000,100000000.0,100.0,5.9375e-09,5937.5,1.0512720920988259
327,130,1,13,42,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,5.9615384615384615e-09,5961.538461538462,0.8625076208038536
